,price,predict_price,residuals
210,1990000,1806206.5491523053,183793.45084769465
211,1450000,2634135.914016011,-1184135.9140160112
212,5800000,7378478.242333186,-1578478.2423331859
213,3200000,3000265.068373643,199734.93162635714
214,3990000,5543910.494903945,-1553910.4949039454
215,2800000,3200100.987618764,-400100.98761876393
216,2390000,3377520.742801293,-987520.7428012928
217,5990000,6099962.289022149,-109962.28902214859
218,1740000,1268847.6318715736,471152.3681284264
219,2690000,3265393.922289462,-575393.9222894618
220,3760000,5140314.422837921,-1380314.4228379214
221,7500000,7913140.044593227,-413140.0445932271
222,3600000,3800035.7656657947,-200035.76566579472
223,7790000,6325204.749044211,1464795.2509557893
224,3250000,2889531.1727640033,360468.8272359967
225,5990000,5484457.526044223,505542.47395577654
226,2850000,2750115.3697865754,99884.63021342456
227,3360000,4384935.200178676,-1024935.2001786763
228,2999000,3175552.714418729,-176552.71441872884
229,4999999,5421666.299846206,-421667.29984620586
230,5500000,6321865.5361260725,-821865.5361260725
231,4700000,2994672.9585530655,1705327.0414469345
232,1590000,1600994.3000152512,-10994.300015251152
233,4390000,4817152.604050409,-427152.60405040905
234,6200000,8571813.153745629,-2371813.153745629
235,1490000,1494145.5102543337,-4145.510254333727
236,1950000,2516143.2535296986,-566143.2535296986
237,1999999,2563525.1662241807,-563526.1662241807
238,1650000,1266809.7611015048,383190.2388984952
239,5600000,6450878.268891933,-850878.2688919334
240,7900000,7773941.36112807,126058.63887192961
241,6000000,3469754.561852332,2530245.438147668
242,2480000,2197529.5965370974,282470.40346290264
243,1490000,2290510.7865446415,-800510.7865446415
244,2280000,4333478.389122876,-2053478.3891228763
245,4900000,5563105.082739678,-663105.0827396782
246,7500000,6938628.750235033,561371.2497649668
247,1690000,1510639.9414455965,179360.05855440348
248,6500000,6814923.889968376,-314923.8899683757
249,2450000,1771632.5113321985,678367.4886678015
250,8200000,7553273.815398012,646726.1846019877
251,2490000,3669254.965470453,-1179254.9654704528
252,3800000,5186514.167206276,-1386514.1672062762
253,1200000,751063.1409867611,448936.8590132389
254,3800000,4505859.6641918635,-705859.6641918635
255,5900000,4969165.366746881,930834.633253119
256,980000,1473832.9648475577,-493832.9648475577
257,6200000,3527181.08384121,2672818.91615879
258,2600000,3137893.0795654655,-537893.0795654655
259,1290000,1257435.285031571,32564.714968428947
260,9300000,6094381.484735572,3205618.515264428
261,3190000,4071701.7729362333,-881701.7729362333
262,2800000,4788388.54682666,-1988388.5468266597
263,7100000,6479061.469912493,620938.5300875073
264,6550000,5319463.582939263,1230536.4170607366
265,6490000,6265956.099494633,224043.90050536674
266,3790000,3910271.460860815,-120271.4608608149
267,6500000,5968843.469973204,531156.5300267963
268,1980000,1869468.5843330752,110531.41566692479
269,3900000,3505718.806673118,394281.1933268821
270,3690000,5151592.449077395,-1461592.4490773948
271,1290000,870226.9806750249,419773.0193249751
272,7200000,6255546.755072878,944453.2449271223
273,2190000,2297181.0442713834,-107181.04427138343
274,3800000,4519665.094100302,-719665.0941003021
275,2590000,3293859.5905115185,-703859.5905115185
276,1950000,3000962.36406014,-1050962.3640601402
277,6900000,5756121.097755974,1143878.9022440258
278,1800000,2504697.2149506547,-704697.2149506547
279,1650000,1607559.6833473397,42440.31665266026
280,5500000,6168123.381790363,-668123.3817903632
281,5560000,4710611.430678105,849388.569321895
282,6290000,6650232.098711113,-360232.09871111345
283,1290000,1469612.2219111533,-179612.2219111533
284,1890000,3002747.961050406,-1112747.961050406
285,1290000,1081783.9813438342,208216.0186561658
286,2600000,4257755.852445266,-1657755.8524452662
287,3690000,4776101.369453822,-1086101.3694538223
288,4150000,4752365.694638567,-602365.694638567
289,1790000,2709571.067468765,-919571.0674687652
290,1790000,2002721.0483046127,-212721.04830461275
291,4200000,5095685.763360369,-895685.763360369
292,4500000,2978230.32983037,1521769.67016963
293,2590000,2472259.9744457286,117740.02555427141
294,4400000,6964076.155789609,-2564076.155789609
295,4130000,4153324.856356806,-23324.85635680612
296,2550000,2475986.253543094,74013.7464569062
297,5499000,4308728.244950209,1190271.7550497912
298,7062000,6833929.34044318,228070.65955682006
299,3200000,5317725.834329716,-2117725.834329716
300,8100000,8584110.468364485,-484110.4683644846
301,1450000,197587.68182502408,1252412.318174976
302,4350000,3324357.905240005,1025642.0947599951
303,2900000,4061307.254957066,-1161307.254957066
304,1400000,1465027.7729136357,-65027.77291363571
305,5100000,6348926.015909153,-1248926.015909153
306,9200000,6840167.356570293,2359832.643429707
307,1400000,2265739.7179947114,-865739.7179947114
308,1700000,1909427.1614276683,-209427.1614276683
309,5500000,4189030.6666791225,1310969.3333208775
310,5900000,6057250.951798446,-157250.95179844555
311,6300000,5829122.7121516755,470877.2878483245
312,6900000,6735283.078262216,164716.9217377836
313,3600000,5613427.204872998,-2013427.2048729984
314,6500000,4689550.5475988705,1810449.4524011295
315,3300000,4535855.344985914,-1235855.3449859144
316,5290000,5384497.574759147,-94497.57475914713
317,1850000,1289900.3169047763,560099.6830952237
318,2250000,2372366.5584888803,-122366.55848888028
319,5390000,5397526.218914875,-7526.218914874829
320,4500000,5108769.1746067675,-608769.1746067675
321,2163000,3944152.6827882538,-1781152.6827882538
322,2690000,3356449.2994713653,-666449.2994713653
323,6500000,4930389.255866088,1569610.744133912
324,7600000,7233668.867463022,366331.13253697846
325,1500000,3012202.963646668,-1512202.963646668
326,4400000,5724184.944913054,-1324184.944913054
327,3800000,3504220.6969857877,295779.3030142123
328,5400000,6031707.08028308,-631707.0802830802
329,8370000,7787634.667572605,582365.3324273946
330,3150000,3285368.4179838253,-135368.41798382532
331,2250000,2506875.105660837,-256875.10566083714
332,5700000,6197719.100934393,-497719.1009343928
333,1700000,1917460.7269049073,-217460.72690490726
334,4500000,3570148.267480025,929851.7325199749
335,2600000,2963995.79175293,-363995.7917529298
336,5000000,3612431.371550004,1387568.628449996
337,1999000,3019797.3593136575,-1020797.3593136575
338,4390000,4984596.850380842,-594596.8503808416
339,3290000,3306908.5047560697,-16908.504756069742
340,3000000,3036507.563051083,-36507.563051083125
341,7500000,7764411.10107026,-264411.1010702597
342,2590000,3017284.425306728,-427284.4253067281
343,1850000,1994498.4620512929,-144498.46205129288
344,4350000,4202553.130493789,147446.86950621102
345,2500000,2555009.644579406,-55009.6445794059
346,3900000,4251639.800479561,-351639.8004795611
347,1990000,2128182.3424280984,-138182.34242809843
348,2190000,3216981.979337192,-1026981.9793371921
349,7700000,7887248.076285147,-187248.0762851471
350,3550000,4008965.842029741,-458965.84202974103
351,3605000,3500004.907233199,104995.0927668009
352,2390000,2409239.549749052,-19239.549749052152
353,9500000,6398308.643607075,3101691.3563929247
354,4700000,5957112.558288354,-1257112.5582883544
355,8900000,8292706.153551248,607293.8464487521
356,1300000,837109.768622634,462890.231377366
357,5500000,5210801.224752058,289198.7752479417
358,4300000,4141947.5615208587,158052.43847914133
359,2350000,3169761.708294969,-819761.708294969
360,2500000,1503338.9207549682,996661.0792450318
361,2850000,2570661.704735308,279338.29526469205
362,2800000,3201144.9994524037,-401144.99945240375
363,6900000,7489975.482363335,-589975.4823633349
364,1990000,2982661.0797135457,-992661.0797135457
365,1290000,2741652.0994232465,-1451652.0994232465
366,3690000,3960377.7009265153,-270377.7009265153
367,5500000,6402248.199018178,-902248.1990181776
368,2800000,2068993.9573201127,731006.0426798873
369,2300000,2343600.325675587,-43600.32567558717
370,2700000,2375817.6109644333,324182.3890355667
371,2790000,2382296.3160967138,407703.68390328623
372,2450000,2780320.6053485284,-330320.60534852836
373,1300000,971797.6581527148,328202.34184728516
374,1350000,979867.660234788,370132.33976521203
375,5800000,3763826.444555565,2036173.5554444352
376,3890000,5337298.3980328385,-1447298.3980328385
377,5450000,4477678.903910371,972321.0960896295
378,6800000,6584314.135143316,215685.86485668365
379,2900000,4126281.937156746,-1226281.9371567462
380,1200000,1676183.3045881554,-476183.30458815536
381,2500000,2759008.3653249415,-259008.36532494146
382,2990000,4579133.519864816,-1589133.5198648162
383,3650000,4417439.875010162,-767439.8750101617
384,4190000,3610329.676555154,579670.3234448461
385,8990000,8062935.203046762,927064.7969532376
386,1230000,959576.4611417553,270423.53885824466
387,3190000,2671825.5132794743,518174.48672052566
388,7000000,5832437.242472666,1167562.7575273337
389,5940000,5511636.462936839,428363.5370631609
390,3200000,3378856.6497117244,-178856.64971172437
391,6500000,4234598.6486476,2265401.3513524
392,8990000,6803886.654781652,2186113.3452183483
393,1890000,1817835.5912037236,72164.40879627643
394,3300000,4211724.2208406,-911724.2208406003
395,2100000,1264610.924585429,835389.075414571
396,2050000,2301588.4787532846,-251588.47875328455
397,4800000,7349467.778610609,-2549467.7786106085
398,3000000,4193219.177678643,-1193219.1776786428
399,1190000,1021526.0066963686,168473.99330363143
400,2530000,2739612.527071935,-209612.52707193512
401,4090000,4895181.118039714,-805181.1180397142
402,2390000,3480162.2562123463,-1090162.2562123463
403,3200000,2998958.0707049156,201041.92929508444
404,4790000,4793718.996877119,-3718.996877118945
405,2350000,2219077.0078841466,130922.99211585335
406,8290000,6765981.273025502,1524018.7269744975
407,1500000,1497020.4601122132,2979.539887786843
408,1799000,2481653.9873507833,-682653.9873507833
409,5200000,6289664.030224479,-1089664.0302244788
410,4800000,4941450.356325305,-141450.35632530507
